date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:07	83252/83252	---M--	200	added ('OK')	image/jpeg	etag:%2214534-51371077f3007%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-4.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-4.jpg	(from http://moc.sg/showroom-cleaning/)
20:44:08	79036/79036	---M--	200	added ('OK')	image/jpeg	etag:%22134bc-513710762fd47%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-1.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-1.jpg	(from http://moc.sg/showroom-cleaning/)
20:44:17	61258/61258	---M--	200	added ('OK')	image/jpeg	etag:%22ef4a-51dbcc5915730%22	http://moc.sg/wp-content/uploads/2015/08/showroom-1-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-1-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:19	66175/66175	---M--	200	added ('OK')	image/jpeg	etag:%221027f-51dbcc5954ed0%22	http://moc.sg/wp-content/uploads/2015/08/showroom-2-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-2-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:22	102162/102162	---M--	200	added ('OK')	image/jpeg	etag:%2218f12-51dbcbababe50%22	http://moc.sg/wp-content/uploads/2015/08/showroom-3-1024x682.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-3-1024x682.jpg	(from http://moc.sg/image-gallery/)
20:44:26	117788/117788	---M--	200	added ('OK')	image/jpeg	etag:%221cc1c-51dbcbad71050%22	http://moc.sg/wp-content/uploads/2015/08/showroom-1-1024x682.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-1-1024x682.jpg	(from http://moc.sg/image-gallery/)
20:44:27	55426/55426	---M--	200	added ('OK')	image/jpeg	etag:%22d882-51dbcc59a2130%22	http://moc.sg/wp-content/uploads/2015/08/showroom-4-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-4-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:27	50212/50212	---M--	200	added ('OK')	image/jpeg	etag:%22c424-51dbcc59cb170%22	http://moc.sg/wp-content/uploads/2015/08/showroom-5-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-5-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:34	49089/49089	---M--	200	added ('OK')	image/jpeg	etag:%22bfc1-51dbcc59f41b0%22	http://moc.sg/wp-content/uploads/2015/08/showroom-7-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-7-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:36	53175/53175	---M--	200	added ('OK')	image/jpeg	etag:%22cfb7-51dbcc5a1c250%22	http://moc.sg/wp-content/uploads/2015/08/showroom-6-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-6-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:36	87475/87475	---M--	200	added ('OK')	image/jpeg	etag:%22155b3-51dbcbb254f90%22	http://moc.sg/wp-content/uploads/2015/08/showroom-7-1024x682.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-7-1024x682.jpg	(from http://moc.sg/image-gallery/)
20:44:37	61522/61522	---M--	200	added ('OK')	image/jpeg	etag:%22f052-51dbcc5a40470%22	http://moc.sg/wp-content/uploads/2015/08/showroom-8-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/08/showroom-8-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:42	33094/33094	---M--	200	added ('OK')	image/jpeg	etag:%228146-513712468cc87%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-1-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-1-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:43	46724/46724	---M--	200	added ('OK')	image/jpeg	etag:%22b684-513712462a267%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-4-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-4-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:46	75338/75338	---M--	200	added ('OK')	image/jpeg	etag:%221264a-51371245eaac7%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-5-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-5-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:52	92219/92219	---M--	200	added ('OK')	image/jpeg	etag:%221683b-51371245ce5a7%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:56	58465/58465	---M--	200	added ('OK')	image/jpeg	etag:%22e461-513712459a987%22	http://moc.sg/wp-content/uploads/2015/04/services-office-1-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-1-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:56	78102/78102	---M--	200	added ('OK')	image/jpeg	etag:%2213116-5e037d0f63eaa%22	http://moc.sg/wp-content/uploads/2015/04/services-office-600x585.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-600x585.jpg	(from http://moc.sg/image-gallery/)
20:44:56	93484/93484	---M--	200	added ('OK')	image/jpeg	etag:%2216d2c-51371245fd3a7%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-cleaning-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-cleaning-600x600.jpg	(from http://moc.sg/image-gallery/)
20:44:59	52390/52390	---M--	200	added ('OK')	image/jpeg	etag:%22cca6-5137124523747%22	http://moc.sg/wp-content/uploads/2015/04/services-office-7-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-7-600x600.jpg	(from http://moc.sg/image-gallery/)
20:45:06	53984/53984	---M--	200	added ('OK')	image/jpeg	etag:%22d2e0-5137124589047%22	http://moc.sg/wp-content/uploads/2015/04/services-office-2-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-2-600x600.jpg	(from http://moc.sg/image-gallery/)
20:45:09	73689/73689	---M--	200	added ('OK')	image/jpeg	etag:%2211fd9-51371246c56c7%22	http://moc.sg/wp-content/uploads/2015/04/services-contract-cleaning-600x600.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-contract-cleaning-600x600.jpg	(from http://moc.sg/image-gallery/)
